Contestant,Total score,Jury score,Televoting score,Ukraine,Italy,Latvia,Netherlands,Malta,Moldova,Ireland,San Marino,Azerbaijan,Austria,France,Finland,Belgium,Germany,Portugal,Croatia,Estonia,Armenia,Poland,Romania,Iceland,Serbia,Cyprus,Norway,Switzerland,Australia,Denmark,Spain,Israel,Sweden,Georgia,Czechia,Slovenia,Greece,Albania,Lithuania,United Kingdom,Rest of the World
Austria,120,104,16,,,,4,,,,,,,,2,,,,,,,,,,3,,,,7,,,,,,,,,,,,
Portugal,59,43,16,,,,,,,,,,,5,,,,,,,,,,,,,,7,,,4,,,,,,,,,,
Switzerland,92,61,31,,1,,,,,,,1,2,,1,,3,,,4,2,,,,,,5,,,4,,,8,,,,,,,,
Poland,93,12,81,12,,,2,,4,8,1,,,,,4,4,,,3,5,,,7,,2,6,,,5,,,,,,1,,1,8,8,
Serbia,30,14,16,,,,,2,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,6,,,,,
France,104,54,50,,,,,1,,,,,,,,2,,2,,,10,,3,4,1,3,8,,2,,,1,2,,,3,3,3,1,,1
Cyprus,126,68,58,,,,,,3,,5,6,,,,,,,,,8,4,1,,,,2,,8,2,,,,,,,12,7,,,
Spain,100,95,5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2
Sweden,583,340,243,3,3,8,8,10,8,6,8,10,4,3,,10,1,7,2,10,7,7,8,10,6,8,10,5,10,8,5,4,,7,6,4,8,10,7,5,7
Albania,76,17,59,,7,,,3,,,,,3,,,3,8,,6,,,,,,,,,12,,,,,,,,7,4,,,,6
Italy,350,176,174,,,,3,12,5,,7,4,8,7,,7,10,6,8,2,3,,7,1,2,6,7,10,,3,6,7,6,5,1,8,5,12,6,,
Estonia,168,146,22,,,6,5,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,5,,
Finland,526,150,376,10,6,12,12,8,7,12,12,8,12,6,,12,12,10,10,12,6,10,10,12,12,7,12,8,12,12,12,12,12,8,10,10,10,6,12,12,10
Czech Republic,129,94,35,2,2,1,,,1,,,3,,,10,,,,3,,,3,,,4,,,,,,,2,3,,,,1,,,,
Australia,151,130,21,,,,1,,,,,,,,8,,,,,6,,,,3,,,,,,,,,1,,,,,,,2,
Belgium,182,127,55,,,,10,,,3,,,,2,,,2,1,,,,,,6,,,4,,3,6,3,,7,,,2,,,,6,
Armenia,122,69,53,,,,,,2,,,,,12,,6,,,,,,,,,,4,,,,,2,3,,12,2,,2,,,,8
Moldova,96,20,76,6,12,,,,,4,3,,,8,3,,,8,1,,,,12,,,1,,,,1,1,5,,3,5,,,,2,1,
Ukraine,243,54,189,,8,7,,5,12,7,6,7,5,4,,1,7,12,,8,1,12,4,2,,10,1,,,7,10,8,4,10,12,,,,10,4,5
Norway,268,52,216,7,10,3,7,7,6,5,4,2,7,1,12,8,5,4,5,7,4,8,5,8,5,5,,2,6,10,8,10,10,2,7,5,6,4,,7,4
Germany,18,3,15,,,,,,,,,,6,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,
Lithuania,127,81,46,4,,10,,,,10,2,,,,,,,,,5,,1,,,,,,,,,,,,4,,,,,,10,
Israel,362,177,185,1,5,5,6,6,10,1,10,12,1,10,,5,,5,4,,12,5,6,,7,12,3,3,5,,7,,,6,8,,7,5,3,3,12
Slovenia,78,33,45,,,2,,,,,,5,,,7,,,,12,1,,2,2,,8,,,,1,,,,,,3,,,2,,,
Croatia,123,11,112,8,4,4,,,,2,,,10,,4,,6,,,,,6,,5,10,,,6,4,,,6,5,1,4,12,,8,4,,3
United Kingdom,24,15,9,5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
