Contestant,my_eurovision_scoreboard_points,eurovision_world_points,eurojury_jury_points,eurojury_online_points,discord_points,wiwiblogs_points,ogae_points
Sweden,313489,53587,354,205,7348,5712,423
Finland,340259,42120,93,214,10327,6362,394
Israel,140141,26591,78,64,2828,2110,83
Germany,43284,16668,36,36,1358,2381,2
Norway,208111,16471,117,130,3813,1574,263
Armenia,125887,12200,58,96,4205,1594,7
Spain,162339,10879,110,145,5208,1922,76
Portugal,56078,8235,25,68,3124,1165,14
Austria,216859,6820,82,206,8972,1332,228
Serbia,85107,6327,25,72,4769,1132,17
France,209524,9543,237,165,5205,1535,302
Czech Republic,143830,5550,60,85,4312,1077,91
Ukraine,36956,5741,60,21,866,354,0
United Kingdom,114042,4940,124,135,2713,1611,154
Italy,86571,4713,186,84,1269,723,226
Croatia,31253,3923,24,25,1288,783,1
Slovenia,124017,3749,24,124,6072,928,34
Netherlands,35267,3661,74,29,1078,441,5
Greece,13641,3131,28,19,353,287,1
Georgia,49476,2283,22,43,2255,468,3
Belgium,38404,2471,104,37,1081,251,21
Estonia,54529,2109,26,35,2213,326,6
Australia,48889,1996,42,51,2202,435,3
Latvia,49061,1890,22,69,4068,387,0
Poland,23736,2287,26,23,495,160,2
Iceland,25212,1902,16,26,1200,237,0
Cyprus,48320,1798,101,34,735,337,14
Switzerland,45298,1694,109,31,811,243,23
Azerbaijan,11666,1445,25,14,498,111,4
Albania,22103,2449,8,17,720,277,0
Ireland,15844,1795,48,24,271,250,0
Denmark,22011,1642,72,21,437,186,0
Lithuania,32549,1664,13,38,1260,262,5
Moldova,65752,1308,8,59,2371,281,32
Malta,19602,993,56,28,1123,278,2
Romania,8370,1025,1,9,473,166,0
San Marino,4430,1178,0,12,293,60,0
